file,WER,CER,Levenshtein,BLEU,Jaccard
HC_ESPONTANEA_0034.txt,0.2916666666666667,0.20424403183023873,0.3661360347322721,0.476618448602785,0.1882591093117409
HC_ESPONTANEA_0036.txt,0.12280701754385964,0.05211726384364821,0.36423841059602646,0.8029933944404716,0.4073118279569893
HC_ESPONTANEA_0045.txt,0.1,0.030864197530864196,0.02180685358255452,0.820805305950934,0.8148148148148149
HC_ESPONTANEA_0048.txt,0.34459459459459457,0.1134020618556701,0.40990099009900993,0.38594492908219596,0.7953767123287672
HC_ESPONTANEA_0049.txt,0.12698412698412698,0.0898876404494382,0.17888563049853368,0.8173535337402447,0.4394871794871795
HC_ESPONTANEA_0051.txt,0.2112676056338028,0.15111695137976347,0.5977337110481586,0.6915084894454101,0.21242183742183743
HC_ESPONTANEA_0052.txt,0.14814814814814814,0.11333333333333333,0.35529411764705887,0.8051455029993395,0.2959183673469387
HC_ESPONTANEA_0053.txt,0.1388888888888889,0.06951871657754011,0.03867403314917128,0.7999063289137948,0.6393939393939394
HC_ESPONTANEA_0054.txt,0.06666666666666667,0.03734439834024896,0.9156118143459916,0.8593942481576374,0.8106060606060606
HC_ESPONTANEA_0055.txt,0.1390728476821192,0.0852803738317757,0.5508474576271186,0.7626483803470062,0.5546737213403881
HC_ESPONTANEA_0056.txt,0.022727272727272728,0.004464285714285714,0.0022371364653244186,0.940028651976138,0.6464646464646465
HC_ESPONTANEA_0060.txt,0.13725490196078433,0.0703971119133574,0.42486085343228197,0.7649822983200063,0.40364583333333337
HC_ESPONTANEA_0061.txt,0.4457831325301205,0.41007194244604317,0.5359281437125749,0.3704054436449828,0.15422932330827066
HC_ESPONTANEA_0062.txt,0.06153846153846154,0.021212121212121213,0.01365705614567525,0.8636202097863216,0.9
HC_ESPONTANEA_0063.txt,0.11538461538461539,0.06628787878787878,0.16129032258064513,0.7854368253965605,0.5508928571428571
HC_ESPONTANEA_0064.txt,0.037037037037037035,0.013793103448275862,0.00694444444444442,0.9000001338525341,1.0
HC_ESPONTANEA_0071.txt,0.08433734939759036,0.022113022113022112,0.13440197287299627,0.8606802314108913,0.8928571428571429
HC_ESPONTANEA_0072.txt,0.19230769230769232,0.10431654676258993,0.6280834914611007,0.5857692515518139,0.2733333333333333
HC_ESPONTANEA_0073.txt,0.037037037037037035,0.028985507246376812,0.014705882352941124,0.9306757101384977,0.6481481481481481
HC_ESPONTANEA_0074.txt,0.09876543209876543,0.049479166666666664,0.027888446215139417,0.8305024283966559,0.618421052631579
HC_ESPONTANEA_0075.txt,0.2647058823529412,0.07302231237322515,0.8926038500506586,0.5827730595813039,0.4083333333333333
HC_ESPONTANEA_0076.txt,0.019230769230769232,0.006779661016949152,0.003401360544217691,0.9496952283401919,0.7846153846153847
HC_ESPONTANEA_0080.txt,0.0975609756097561,0.075,0.9827213822894169,0.8172848221572321,0.3915343915343915
HC_ESPONTANEA_0081.txt,0.30952380952380953,0.20168067226890757,0.11421911421911424,0.5411505844768498,0.17803030303030307
HC_ESPONTANEA_0082.txt,0.023255813953488372,0.013513513513513514,0.006802721088435382,0.9385522307631307,0.8157894736842106
HC_ESPONTANEA_0083.txt,0.3148148148148148,0.16030534351145037,0.9322709163346614,0.43417503986258593,0.27079365079365075
HC_ESPONTANEA_0086.txt,0.16,0.16793893129770993,0.7479166666666667,0.7921983721129091,0.48310870331219163
HC_ESPONTANEA_0087.txt,0.03773584905660377,0.04153354632587859,0.021207177814029365,0.9161626978748652,0.7327380952380952
HC_ESPONTANEA_0105.txt,0.0379746835443038,0.025522041763341066,0.05757931844888364,0.9014843294013484,0.7600494743351887
HC_ESPONTANEA_0112.txt,0.1834862385321101,0.09647495361781076,0.0759013282732448,0.6942849536557644,0.5084175084175084
HC_ESPONTANEA_0116.txt,0.0392156862745098,0.02973977695167286,0.02824858757062143,0.928819965588319,0.7377777777777779
HC_ESPONTANEA_0118.txt,0.10344827586206896,0.0641025641025641,0.0331125827814569,0.773073906668349,0.4444444444444445
HC_ESPONTANEA_0120.txt,0.275,0.1742627345844504,0.42939481268011526,0.5958013234672981,0.16666666666666666
HC_ESPONTANEA_0121.txt,0.05,0.03296703296703297,0.6945373467112598,0.9196726134149765,0.5619047619047619
HC_ESPONTANEA_0122.txt,0.33980582524271846,0.1383177570093458,0.6781609195402298,0.43033687001336324,0.26262626262626265
HC_ESPONTANEA_0128.txt,0.23636363636363636,0.14759535655058043,0.15075825156110612,0.6403931535820817,0.22333333333333333
HC_ESPONTANEA_0129.txt,0.14482758620689656,0.05392156862745098,0.9138576779026217,0.7495620022488039,0.4964661654135337
HC_ESPONTANEA_0130.txt,0.17525773195876287,0.07570422535211267,0.495949594959496,0.7034727641064977,0.37405303030303033
HC_ESPONTANEA_0132.txt,0.13076923076923078,0.044630404463040445,0.03034580098800277,0.7369012108707075,0.5505050505050506
HC_ESPONTANEA_0133.txt,0.2222222222222222,0.1778846153846154,0.6886543535620053,0.6639052579766644,0.40918803418803423
HC_ESPONTANEA_0134.txt,0.14912280701754385,0.12341772151898735,0.10851419031719534,0.8247501441765069,0.47060356057316544
HC_ESPONTANEA_0135.txt,0.29411764705882354,0.09513023782559456,0.543879907621247,0.46520722149307475,0.6016290726817043
HC_ESPONTANEA_0136.txt,0.16055045871559634,0.11273666092943202,0.4749772520473158,0.7690875379231547,0.18864345114345113
HC_ESPONTANEA_0137.txt,0.14556962025316456,0.07995365005793743,0.35375375375375373,0.7329674804838995,0.3127586206896552
